taxid	scientific_name	domain
12157		Viruses
12158		Viruses
12160		Viruses
12161		Viruses
12162		Viruses
12163		Viruses
12164		Viruses
12165		Viruses
12166		Viruses
12167		Viruses
12168		Viruses
12169		Viruses
12170		Viruses
12171		Viruses
12172		Viruses
12173		Viruses
12174		Viruses
12175		Viruses
12176		Viruses
12177		Viruses
12178		Viruses
12179		Viruses
12180		Viruses
12181		Viruses
12182		Viruses
12183		Viruses
12184		Viruses
12185		Viruses
12186		Viruses
12187		Viruses
12188		Viruses
12189		Viruses
12190		Viruses
12194		Viruses
12195		Viruses
12196		Viruses
12197		Viruses
12198		Viruses
12199		Viruses
12200		Viruses
12201		Viruses
12202		Viruses
12203		Viruses
12204		Viruses
12205		Viruses
12206		Viruses
12207		Viruses
12208		Viruses
12209		Viruses
12210		Viruses
12211		Viruses
12212		Viruses
12213		Viruses
12214		Viruses
12215		Viruses
12216		Viruses
12217		Viruses
12218		Viruses
12219		Viruses
12220		Viruses
12221		Viruses
12222		Viruses
12223		Viruses
12224		Viruses
12225		Viruses
12226		Viruses
12227		Viruses
12228		Viruses
12229		Viruses
12230		Viruses
12232		Viruses
12233		Viruses
12234		Viruses
12235		Viruses
12236		Viruses
12237		Viruses
12238		Viruses
12239		Viruses
12240		Viruses
12241		Viruses
12242		Viruses
12243		Viruses
12244		Viruses
12246		Viruses
12247		Viruses
12248		Viruses
12249		Viruses
12250		Viruses
12251		Viruses
12252		Viruses
12253		Viruses
12256		Viruses
12257		Viruses
12258		Viruses
12259		Viruses
12260		Viruses
12261		Viruses
12262		Viruses
12263		Viruses
12264		Viruses
12266		Viruses
12267		Viruses
12268		Viruses
12269		Viruses
12270		Viruses
12271		Viruses
12273		Viruses
12274		Viruses
12275		Viruses
12276		Viruses
12277		Viruses
12278		Viruses
12280		Viruses
12281		Viruses
12282		Viruses
12283		Viruses
12285		Viruses
12286		Viruses
12287		Viruses
12288		Viruses
12289		Viruses
12291		Viruses
12292		Viruses
12293		Viruses
12294		Viruses
12295		Viruses
12296		Viruses
12297		Viruses
12298		Viruses
12299		Viruses
12300		Viruses
12301		Viruses
12302		Viruses
12303		Viruses
12304		Viruses
12305		Viruses
12306		Viruses
12307		Viruses
12308		Viruses
12309		Viruses
12310		Viruses
12311		Viruses
12312		Viruses
12313		Viruses
12314		Viruses
12315		Viruses
12316		Viruses
12317		Viruses
12318		Viruses
12319		Viruses
12320		Viruses
12321		Viruses
12322		Viruses
12323		Viruses
12324		Viruses
12325		Viruses
12326		Viruses
12327		Viruses
12328		Viruses
12329		Viruses
12429		Viruses
12430		Viruses
12431		Viruses
12432		Viruses
12433		Viruses
12435		Viruses
12436		Viruses
12438		Viruses
12439		Viruses
12440		Viruses
12441		Viruses
12444		Viruses
12445		Viruses
12450		Viruses
12451		Viruses
12452		Viruses
12455		Viruses
12456		Viruses
12458		Viruses
12465		Viruses
12466		Viruses
12468		Viruses
12470		Viruses
12471		Viruses
12472		Viruses
12473		Viruses
12474		Viruses
12475		Viruses
12477		Viruses
12478		Viruses
12480		Viruses
12499		Viruses
12509		Viruses
12513		Viruses
12519		Viruses
12521		Viruses
12524		Viruses
12530		Viruses
12538		Viruses
12541		Viruses
12542		Viruses
12557		Viruses
12558		Viruses
12578		Viruses
12583		Viruses
12584		Viruses
12585		Viruses
12615		Viruses
12618		Viruses
12627		Viruses
12637		Viruses
12639		Viruses
12643		Viruses
12645		Viruses
12647		Viruses
12657		Viruses
12663		Viruses
12672		Viruses
12675		Viruses
12701		Viruses
12705		Viruses
12721		Viruses
12730		Viruses
12733		Viruses
12742		Viruses
12750		Viruses
12760		Viruses
12777		Viruses
12783		Viruses
12795		Viruses
12804		Viruses
12809		Viruses
12811		Viruses
12814		Viruses
12830		Viruses
12844		Viruses
12845		Viruses
12851		Viruses
12870		Viruses
12877		Viruses
12881		Viruses
12885		Viruses
12886		Viruses
12887		Viruses
12888		Viruses
12889		Viruses
12890		Viruses
12892		Viruses
12893		Viruses
12894		Viruses
12895		Viruses
12896		Viruses
12897		Viruses
12898		Viruses
12899		Viruses
12901		Viruses
12902		Viruses
12903		Viruses
12904		Viruses
12905		Viruses
12906		Viruses
12907		Viruses
28265		Viruses
28266		Viruses
28267		Viruses
28274		Viruses
28275		Viruses
28276		Viruses
28278		Viruses
28280		Viruses
28282		Viruses
28284		Viruses
28285		Viruses
28288		Viruses
28289		Viruses
28290		Viruses
28292		Viruses
28293		Viruses
28295		Viruses
28298		Viruses
28300		Viruses
28304		Viruses
28311		Viruses
28312		Viruses
28313		Viruses
28314		Viruses
28321		Viruses
28322		Viruses
28326		Viruses
28327		Viruses
28329		Viruses
28332		Viruses
28344		Viruses
28347		Viruses
28348		Viruses
28350		Viruses
28351		Viruses
28352		Viruses
28353		Viruses
28354		Viruses
28355		Viruses
28373		Viruses
28375		Viruses
28869		Viruses
28871		Viruses
28873		Viruses
28874		Viruses
28875		Viruses
28876		Viruses
28877		Viruses
28882		Viruses
29250		Viruses
29255		Viruses
29256		Viruses
29257		Viruses
29260		Viruses
29261		Viruses
29262		Viruses
29263		Viruses
29264		Viruses
29271		Viruses
29272		Viruses
29276		Viruses
31503		Viruses
31504		Viruses
31506		Viruses
31507		Viruses
31510		Viruses
31512		Viruses
31513		Viruses
31514		Viruses
31515		Viruses
31517		Viruses
31518		Viruses
31519		Viruses
31520		Viruses
31521		Viruses
31522		Viruses
31523		Viruses
31525		Viruses
31527		Viruses
